City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,guymon,36.6828,-101.4816,62.6,88,100,3.44,US,1686634368
227,inhambane,-23.865,35.3833,66.79,85,61,1.81,MZ,1686634109
228,plettenberg bay,-34.0527,23.3716,60.89,59,98,17.54,ZA,1686634370
229,seven pagodas,12.6264,80.1722,95.05,49,58,8.28,IN,1686634371
230,zagon,45.7667,26.1167,57.72,81,100,2.42,RO,1686634372
231,yelizovo,53.1873,158.3805,75.34,31,0,13.42,RU,1686634374
232,princeville,45.7668,-61.2985,55.31,86,0,3.44,CA,1686634375
233,torghay,49.6339,63.4981,78.4,33,71,24.02,KZ,1686634376
234,ujae,8.9322,165.7642,83.14,81,78,17.54,MH,1686634377
235,syktyvkar,61.6764,50.8099,62.33,63,0,7.0,RU,1686634378
236,faya-largeau,17.9257,19.1043,93.33,28,8,5.59,TD,1686634380
237,guixi,28.2886,117.2133,75.85,86,100,4.54,CN,1686634381
238,mundri,-6.9558,111.71,87.33,61,62,6.13,ID,1686634382
239,konstantinovka,49.6167,127.9833,83.16,46,73,4.54,RU,1686634383
240,kayangel,8.0823,134.7173,81.54,79,69,12.12,PW,1686634384
241,xilin hot,43.9667,116.0333,80.46,24,7,7.05,CN,1686634385
242,balabac,7.9868,117.0645,88.21,63,84,3.71,PH,1686634387
